CODE_UNIT,DATE,AMOUNT,HM_CALC,CONSUMPTION,HM_HRS,PRODUCTION_OB,CONSUMPTION_CALC,CONSUMPTION_HRS
EX41,2022-09-28,2144.0,18.0,124.16666666666664,,,119.11111111111111,
EX41,2022-09-29,2317.0,20.0,109.65,,,115.85,
EX41,2022-09-30,2163.0,26.0,91.34545454545454,,,83.1923076923077,
EX41,2022-10-01,2344.0,-39.0,21.249090909090906,,,-60.1025641025641,
EX41,2022-10-02,2223.0,17.0,93.3142857142857,13.0,4372.0,130.76470588235293,171.0
EX41,2022-10-03,1346.0,13.0,314.84090909090907,0.0,0.0,103.53846153846153,inf
EX41,2022-10-04,1339.0,12.0,638.5,21.5,9546.0,111.58333333333333,62.27906976744186
EX41,2022-10-05,2243.0,22.0,95.27272727272727,18.0,7163.8,101.95454545454545,124.61111111111111
EX41,2022-10-06,2248.0,22.0,101.48333333333333,22.0,9976.0,102.18181818181819,102.18181818181819
EX41,2022-10-07,1978.0,19.0,87.52777777777777,16.0,6321.0,104.10526315789474,123.625
EX41,2022-10-08,1861.0,19.0,102.59444444444445,17.0,6579.0,97.94736842105263,109.47058823529412
EX41,2022-10-09,1595.0,17.0,109.13888888888889,15.0,5568.0,93.82352941176471,106.33333333333333
EX41,2022-10-10,1926.0,19.0,106.61363636363637,8.0,2494.0,101.36842105263158,240.75
EX41,2022-10-11,2175.0,21.0,52.33333333333334,22.0,9331.0,103.57142857142857,98.86363636363636
EX41,2022-10-12,2226.0,22.0,67.77272727272725,9.0,2649.0,101.18181818181819,247.33333333333334
EX41,2022-10-13,1203.0,13.0,136.91666666666666,0.0,0.0,92.53846153846153,inf
EX41,2022-10-14,965.0,9.0,136.05,0.0,0.0,107.22222222222223,inf
EX41,2022-10-15,2011.0,-3970.0,-0.3065491183879093,10.0,1321.0,-0.5065491183879093,201.1
EX41,2022-10-16,2211.0,4011.0,0.268511593118923,20.0,4163.0,0.5512341062079282,110.55
EX41,2022-10-17,2108.0,21.0,107.36363636363637,15.0,3977.4,100.38095238095238,140.53333333333333
EX41,2022-10-18,1210.0,11.0,110.0,18.0,6508.0,110.0,67.22222222222223
EX41,2022-10-19,1691.0,14.0,148.8,22.0,9829.0,120.78571428571429,76.86363636363636
EX41,2022-10-20,1492.0,8.0,134.5,21.0,9107.0,186.5,71.04761904761905
EX41,2022-10-21,1795.0,17.0,82.37857142857143,13.0,2917.6,105.58823529411765,138.07692307692307
